tekst	korpus	reci	duzina.reci	infinitivi	trebati	da	imen.glag	duzina.reci.2
hrwac.00000100.txt.taglem	hrwac	291	5.27491408935	0.027027027027	0.0	1.37457044674e-06	0.731884057971	2
hrwac.00000096.txt.taglem	hrwac	217	5.56221198157	0.272727272727	0.0	0.0	0.676470588235	3
hrwac.00000078.txt.taglem	hrwac	323	5.6253869969	0.046511627907	0.0	6.1919504644e-07	0.751445086705	3
hrwac.00000058.txt.taglem	hrwac	245	6.0612244898	0.0384615384615	0.0	8.16326530612e-07	0.798449612403	5
hrwac.00000012.txt.taglem	hrwac	407	5.01228501229	0.0724637681159	0.0	7.37100737101e-07	0.638743455497	1
hrwac.00000060.txt.taglem	hrwac	605	5.41487603306	0.119565217391	1.0	2.31404958678e-06	0.694352159468	2
hrwac.00000050.txt.taglem	hrwac	1041	4.81940441883	0.115	0.0	1.34486071085e-06	0.57264957265	1
hrwac.00000075.txt.taglem	hrwac	364	5.8489010989	0.243902439024	0.0	2.74725274725e-07	0.755952380952	4
hrwac.00000046.txt.taglem	hrwac	264	5.76893939394	0.184210526316	0.0	7.57575757576e-07	0.718518518519	4
hrwac.00000033.txt.taglem	hrwac	181	5.16022099448	0.0833333333333	0.0	1.10497237569e-06	0.724137931034	1
hrwac.00000072.txt.taglem	hrwac	485	6.04948453608	0.138461538462	0.0	1.03092783505e-06	0.743083003953	5
hrwac.00000049.txt.taglem	hrwac	403	5.34243176179	0.1	1.0	1.24069478908e-06	0.692307692308	2
hrwac.00000041.txt.taglem	hrwac	219	6.72146118721	0.15	0.0	4.56621004566e-07	0.821428571429	5
hrwac.00000065.txt.taglem	hrwac	443	4.78781038375	0.140350877193	1.0	2.93453724605e-06	0.491071428571	1
hrwac.00000010.txt.taglem	hrwac	1164	4.14347079038	0.0745098039216	0.0	1.37457044674e-06	0.571428571429	1
hrwac.00000099.txt.taglem	hrwac	1413	5.54352441614	0.138613861386	0.0	5.66171266808e-07	0.736979166667	2
hrwac.00000044.txt.taglem	hrwac	17181	4.73656946627	0.108523163553	0.521739130435	2.96257493743e-06	0.530465088331	1
hrwac.00000066.txt.taglem	hrwac	643	5.26283048212	0.0	0.0	0.0	0.838926174497	2
hrwac.00000038.txt.taglem	hrwac	403	6.29032258065	0.3	0.0	2.48138957816e-07	0.81308411215	5
hrwac.00000083.txt.taglem	hrwac	245	5.72244897959	0.0263157894737	0.0	8.16326530612e-07	0.741496598639	3
hrwac.00000011.txt.taglem	hrwac	863	6.0382387022	0.173228346457	0.0	1.04287369641e-06	0.696172248804	4
hrwac.00000069.txt.taglem	hrwac	505	5.92079207921	0.0579710144928	0.0	3.9603960396e-07	0.741573033708	4
hrwac.00000086.txt.taglem	hrwac	216	5.39351851852	0.255319148936	1.0	2.77777777778e-06	0.56880733945	2
hrwac.00000001.txt.taglem	hrwac	254	5.75984251969	0.222222222222	0.0	1.96850393701e-06	0.815068493151	4
hrwac.00000030.txt.taglem	hrwac	211	5.8009478673	0.190476190476	0.0	0.0	0.832	4
hrwac.00000048.txt.taglem	hrwac	219	5.56621004566	0.179487179487	1.0	9.13242009132e-07	0.680327868852	3
hrwac.00000003.txt.taglem	hrwac	642	5.28348909657	0.134831460674	1.0	1.55763239875e-06	0.664150943396	2
hrwac.00000029.txt.taglem	hrwac	907	5.53914002205	0.163120567376	0.0	1.21278941566e-06	0.692139737991	2
hrwac.00000056.txt.taglem	hrwac	444	5.75225225225	0.136363636364	0.0	0.0	0.821138211382	4
hrwac.00000026.txt.taglem	hrwac	390	5.72564102564	0.170212765957	0.0	2.5641025641e-07	0.734463276836	3
